"filename", "language", "Batch", "C", "C++", "Shell Script", "Makefile", "CMake", "LinkerScript", "JSON", "TypeScript", "CMake Cache", "Log", "comment", "blank", "total"
"d:\OS\diy-x86os-master\start\start\build\source\loader\Makefile", "Makefile", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 51, 55, 219
"d:\OS\diy-x86os-master\start\start\build\source\loader\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"d:\OS\diy-x86os-master\start\start\script\img-write-linux.sh", "Shell Script", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 18, 10, 44
"d:\OS\diy-x86os-master\start\start\script\img-write-osx.sh", "Shell Script", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 17, 11, 44
"d:\OS\diy-x86os-master\start\start\script\img-write-win.bat", "Batch", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 10, 49
"d:\OS\diy-x86os-master\start\start\script\qemu-debug-linux.sh", "Shell Script", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\OS\diy-x86os-master\start\start\script\qemu-debug-osx.sh", "Shell Script", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\OS\diy-x86os-master\start\start\script\qemu-debug-win.bat", "Batch", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\OS\diy-x86os-master\start\start\source\boot\boot.c", "C", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"d:\OS\diy-x86os-master\start\start\source\boot\boot.h", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\OS\diy-x86os-master\start\start\source\comm\boot_info.h", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\OS\diy-x86os-master\start\start\source\comm\cpu_instr.h", "C", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 80
"d:\OS\diy-x86os-master\start\start\source\comm\elf.h", "C++", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\OS\diy-x86os-master\start\start\source\comm\types.h", "C", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\OS\diy-x86os-master\start\start\source\kernel\core\task.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 48
"d:\OS\diy-x86os-master\start\start\source\kernel\cpu\cpu.c", "C", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56
"d:\OS\diy-x86os-master\start\start\source\kernel\dev\time.c", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\OS\diy-x86os-master\start\start\source\kernel\include\core\task.h", "C", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\OS\diy-x86os-master\start\start\source\kernel\include\cpu\cpu.h", "C", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 65
"d:\OS\diy-x86os-master\start\start\source\kernel\include\cpu\irq.c", "C", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 196
"d:\OS\diy-x86os-master\start\start\source\kernel\include\cpu\irq.h", "C", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 90
"d:\OS\diy-x86os-master\start\start\source\kernel\include\dev\time.h", "C", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\OS\diy-x86os-master\start\start\source\kernel\include\os_cfg.h", "C", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\OS\diy-x86os-master\start\start\source\kernel\include\tools\klib.h", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\OS\diy-x86os-master\start\start\source\kernel\include\tools\log.h", "C", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\OS\diy-x86os-master\start\start\source\kernel\init\init.c", "C", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 51
"d:\OS\diy-x86os-master\start\start\source\kernel\init\init.h", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\OS\diy-x86os-master\start\start\source\kernel\kernel.lds", "LinkerScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"d:\OS\diy-x86os-master\start\start\source\kernel\tools\klib.c", "C", 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 188
"d:\OS\diy-x86os-master\start\start\source\kernel\tools\log.c", "C", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\OS\diy-x86os-master\start\start\source\loader\loader.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\OS\diy-x86os-master\start\start\source\loader\loader_16.c", "C", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 76
"d:\OS\diy-x86os-master\start\start\source\loader\loader_32.c", "C", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 73
"Total", "-", 15, 1546, 75, 34, 494, 536, 15, 3006, 6, 345, 86, 356, 875, 7389
