Date : 2023-09-24 22:18:18
Directory : d:\OS\diy-x86os-master\start\start
Total : 75 files,  6158 codes, 356 comments, 875 blanks, all 7389 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\OS\diy-x86os-master\start\start\build\source\loader\CMakeFiles\loader.dir\cmake_clean.cmake                       | CMake        |         15 |          0 |          2 |         17 |
| d:\OS\diy-x86os-master\start\start\build\source\loader\CMakeFiles\loader.dir\compiler_depend.ts                      | TypeScript   |          2 |          0 |          1 |          3 |
| d:\OS\diy-x86os-master\start\start\build\source\loader\Makefile                                                      | Makefile     |        113 |         51 |         55 |        219 |
| d:\OS\diy-x86os-master\start\start\build\source\loader\cmake_install.cmake                                           | CMake        |         33 |          0 |          7 |         40 |
| d:\OS\diy-x86os-master\start\start\script\img-write-linux.sh                                                         | Shell Script |         16 |         18 |         10 |         44 |
| d:\OS\diy-x86os-master\start\start\script\img-write-osx.sh                                                           | Shell Script |         16 |         17 |         11 |         44 |
| d:\OS\diy-x86os-master\start\start\script\img-write-win.bat                                                          | Batch        |         14 |         25 |         10 |         49 |
| d:\OS\diy-x86os-master\start\start\script\qemu-debug-linux.sh                                                        | Shell Script |          1 |          1 |          1 |          3 |
| d:\OS\diy-x86os-master\start\start\script\qemu-debug-osx.sh                                                          | Shell Script |          1 |          1 |          1 |          3 |
| d:\OS\diy-x86os-master\start\start\script\qemu-debug-win.bat                                                         | Batch        |          1 |          1 |          1 |          3 |
| d:\OS\diy-x86os-master\start\start\source\boot\boot.c                                                                | C            |          6 |          4 |          5 |         15 |
| d:\OS\diy-x86os-master\start\start\source\boot\boot.h                                                                | C++          |          3 |          0 |          3 |          6 |
| d:\OS\diy-x86os-master\start\start\source\comm\boot_info.h                                                           | C++          |         14 |          0 |          4 |         18 |
| d:\OS\diy-x86os-master\start\start\source\comm\cpu_instr.h                                                           | C            |         63 |          0 |         17 |         80 |
| d:\OS\diy-x86os-master\start\start\source\comm\elf.h                                                                 | C++          |         39 |          0 |          3 |         42 |
| d:\OS\diy-x86os-master\start\start\source\comm\types.h                                                               | C            |          6 |          0 |          2 |          8 |
| d:\OS\diy-x86os-master\start\start\source\kernel\core\task.c                                                         | C            |         40 |          2 |          6 |         48 |
| d:\OS\diy-x86os-master\start\start\source\kernel\cpu\cpu.c                                                           | C            |         47 |          0 |          9 |         56 |
| d:\OS\diy-x86os-master\start\start\source\kernel\dev\time.c                                                          | C            |         22 |          0 |          3 |         25 |
| d:\OS\diy-x86os-master\start\start\source\kernel\include\core\task.h                                                 | C            |         12 |          0 |          5 |         17 |
| d:\OS\diy-x86os-master\start\start\source\kernel\include\cpu\cpu.h                                                   | C            |         50 |          1 |         14 |         65 |
| d:\OS\diy-x86os-master\start\start\source\kernel\include\cpu\irq.c                                                   | C            |        176 |          2 |         18 |        196 |
| d:\OS\diy-x86os-master\start\start\source\kernel\include\cpu\irq.h                                                   | C            |         77 |          0 |         13 |         90 |
| d:\OS\diy-x86os-master\start\start\source\kernel\include\dev\time.h                                                  | C            |         11 |          0 |          4 |         15 |
| d:\OS\diy-x86os-master\start\start\source\kernel\include\os_cfg.h                                                    | C            |         10 |          0 |          3 |         13 |
| d:\OS\diy-x86os-master\start\start\source\kernel\include\tools\klib.h                                                | C            |         22 |          0 |          3 |         25 |
| d:\OS\diy-x86os-master\start\start\source\kernel\include\tools\log.h                                                 | C            |          5 |          0 |          2 |          7 |
| d:\OS\diy-x86os-master\start\start\source\kernel\init\init.c                                                         | C            |         42 |          2 |          7 |         51 |
| d:\OS\diy-x86os-master\start\start\source\kernel\init\init.h                                                         | C++          |          3 |          0 |          2 |          5 |
| d:\OS\diy-x86os-master\start\start\source\kernel\kernel.lds                                                          | LinkerScript |         15 |          0 |          4 |         19 |
| d:\OS\diy-x86os-master\start\start\source\kernel\tools\klib.c                                                        | C            |        174 |          0 |         14 |        188 |
| d:\OS\diy-x86os-master\start\start\source\kernel\tools\log.c                                                         | C            |         29 |          0 |          4 |         33 |
| d:\OS\diy-x86os-master\start\start\source\loader\loader.h                                                            | C++          |         16 |          0 |          6 |         22 |
| d:\OS\diy-x86os-master\start\start\source\loader\loader_16.c                                                         | C            |         63 |          2 |         11 |         76 |
| d:\OS\diy-x86os-master\start\start\source\loader\loader_32.c                                                         | C            |         58 |          1 |         14 |         73 |
| Total                                                                                                                |              |      6,158 |        356 |        875 |      7,389 |
+----------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
